272M	node_modules/@next
151M	node_modules/next
118M	node_modules/@tabler
83M	node_modules/react-icons
58M	node_modules/@phosphor-icons
42M	node_modules/lucide-react
41M	node_modules/storybook
39M	node_modules/date-fns
33M	node_modules/@img
27M	node_modules/@opentelemetry
27M	node_modules/@google
23M	node_modules/typescript
21M	node_modules/@heroicons
17M	node_modules/@babel
16M	node_modules/date-fns-jalali
16M	node_modules/core-js-pure
15M	node_modules/@storybook
15M	node_modules/@modelcontextprotocol
12M	node_modules/es-toolkit
11M	node_modules/prettier
