Name,Type,Phone,Address,City,County,Website,Verified
Buckhorn Gun & Pawn,"Gun Store, Gunsmith, Pawn, FFL Dealer",208-377-2535,"6601 W Ustick Rd, Boise, ID 83704",Boise,Ada,buckhornguns.com,Yes
Cliff's Guns Safes & Reloading,"Gun Store, Gunsmith, FFL Dealer",208-375-8694,"11505 W Fairview Ave #101, Boise, ID 83713",Boise,Ada,gunsamerica.com/Search/Lister/193/Cliffs_Guns_Safes_Reloading,Yes
Impact Guns,"Gun Store, Indoor Range, FFL Dealer",208-321-1288,"11655 W Executive Dr, Boise, ID 83713",Boise,Ada,impactguns.com,Yes
Al's Sporting Goods,"Gun Store, FFL Dealer",208-801-7494,"1301 N Milwaukee St, Boise, ID 83704",Boise,Ada,N/A,Yes
20/20 Sporting Services,"Gun Store, FFL Dealer",208-866-4870,"1175 W Boise Ave Suite A, Boise, ID 83706",Boise,Ada,N/A,Yes
Rifle Guru,"Gun Store, Gunsmith, FFL Dealer",N/A,"5282 W White Hills Dr, Boise, ID 83714",Boise,Ada,N/A,Yes
Ada Armaments,Gun Manufacturer,N/A,"7305 S Glenridge View Dr, Boise, ID 83709",Boise,Ada,N/A,Yes
American Reserve Munitions LLC,Gun Manufacturer,N/A,"3601 W Chinden Blvd, Boise, ID 83714",Boise,Ada,N/A,Yes
High Born Tactical,Gun Manufacturer,N/A,"400 N Five Mile Rd, Boise, ID 83713",Boise,Ada,N/A,Yes
Automatic Weapons Company,Gun Manufacturer,208-938-2173,"15005 N McFarland Creek Rd #B, Boise, ID 83714",Boise,Ada,N/A,Yes
I2AT,Gun Manufacturer,N/A,"5202 N Morninggale Way, Boise, ID 83713",Boise,Ada,N/A,Yes
Aviation Specialties Unlimited Inc,"Gun Store, FFL Dealer",208-426-8117,"4632 West Aeronca St, Boise, ID 83705",Boise,Ada,N/A,Yes
Allterra Arms,"Gun Store, Gunsmith, FFL Dealer",208-608-5179,"6898 Supply Way Ste 100, Boise, ID 83716",Boise,Ada,N/A,Yes
Axial Precision LLC,"Gun Store, Gunsmith",208-608-5179,"Boise, ID",Boise,Ada,N/A,Yes
Blue Line Guns,"Gun Store, FFL Dealer",208-639-1653,"Boise, ID",Boise,Ada,N/A,Yes
Caracal USA,Gun Manufacturer,208-323-8727,"Boise, ID",Boise,Ada,N/A,Yes
Fall River Arms,"Gun Store, FFL Dealer",208-629-3910,"Boise, ID",Boise,Ada,N/A,Yes
Idaho Guns,"Gun Store, FFL Dealer",208-378-1600,"8600 W Franklin Rd, Boise, ID 83709",Boise,Ada,N/A,Yes
Boise Gun Company Inc,"Gun Store, Gunsmith, FFL Dealer",208-376-4440,"4105 Adams St, Garden City, ID 83714",Garden City,Ada,boisegun.com,Yes
Combat Sport Supply,"Gun Store, Sporting Goods",208-336-1927,"208 E 37th St #10, Garden City, ID 83714",Garden City,Ada,N/A,Yes
Gem State Guns LLC,"Gun Store, FFL Dealer",208-724-1851,"Boise, ID 83705",Boise,Ada,N/A,Yes
Walker Tactical Firearms LLC,"Gun Store, FFL Dealer",208-869-1508,"1547 S Boulder View Ln, Boise, ID 83712",Boise,Ada,N/A,Yes
Idaho Surplus Sales,"Gun Store, FFL Dealer",N/A,"Boise, ID 83709",Boise,Ada,N/A,Yes
Tactical Solutions Inc,"Gun Manufacturer, Gun Store",208-333-9901,"2181 Commerce Ave, Boise, ID 83705",Boise,Ada,N/A,Yes
Overland Armament Inc,"Gun Store, FFL Dealer",208-672-0558,"7103 W Overland Rd, Boise, ID 83709",Boise,Ada,N/A,Yes
Primary Weapons Systems,Gun Manufacturer,208-344-5217,"255 N Steelhead Way, Boise, ID 83704",Boise,Ada,N/A,Yes
Double Tapp LLC,"Gun Store, Private Range, FFL Dealer",208-559-3337,"10512 W Treeline St, Boise, ID 83704",Boise,Ada,doubletappboise.com,Yes
Stockpile Defense LLC,"Gun Store, Gunsmith, FFL Dealer",208-322-4867,"10178 W Fairview Ave, Boise, ID 83704",Boise,Ada,N/A,Yes
Highland Munitions LLC,"Gun Store, FFL Dealer",N/A,"7676 S Mistyglen Ave, Boise, ID 83709",Boise,Ada,N/A,Yes
Cabela's Boise,"Gun Store, Sporting Goods",208-672-7900,"8109 W Franklin Rd, Boise, ID 83709",Boise,Ada,stores.cabelas.com,Yes
Sportsman's Warehouse #103,"Gun Store, Sporting Goods",208-672-7900,"8109 W Franklin Rd, Boise, ID 83709",Boise,Ada,sportsmans.com,Yes
Big 5 Sporting Goods #279,"Gun Store, Sporting Goods",310-536-0611,"101 N Milwaukee St, Boise, ID 83704",Boise,Ada,big5sportinggoods.com,Yes
Big 5 Sporting Goods #391,"Gun Store, Sporting Goods",310-536-0611,"6762 N Glenwood St, Boise, ID 83714",Boise,Ada,big5sportinggoods.com,Yes
Pawn 1 Inc,"Pawn Shop, Firearms",509-487-8888,"11405 W Fairview, Boise, ID 83713",Boise,Ada,N/A,Yes
Boise Pawn,"Pawn Shop, Firearms",833-264-7296,"6465 W Fairview Ave, Boise, ID 83704",Boise,Ada,N/A,Yes
Robertson Firearm Services,"Gunsmith, FFL Dealer",208-859-0756,"5909 W Poplar Cir, Boise, ID 83704",Boise,Ada,N/A,Yes
Defense Materials Company LLC,"Gunsmith, FFL Dealer",208-546-9463,"4910 W Denton St, Boise, ID 83704",Boise,Ada,N/A,Yes
Barton's Custom Shop,Gunsmith,208-939-4478,"10300 Janie Pl Bldg B, Boise, ID 83714",Boise,Ada,N/A,Yes
Bear Creek Firearms,"Gun Store, FFL Dealer",208-871-8435,"9684 W Shelborne Dr, Boise, ID 83709",Boise,Ada,N/A,Yes
Old Arms of Idaho,"Gun Store, Gunsmith, FFL Dealer",208-602-6027,"6128 Fairview Ave, Boise, ID 83704",Boise,Ada,oldarmsofidaho.com,Yes
ATS Sales,"Gun Store, FFL Dealer",208-286-2013,"3374 S Ashbury Pl, Boise, ID 83706",Boise,Ada,N/A,Yes
Arctic Summit Gunsmithing,Gunsmith,702-353-3928,"4323 S Chariot Way, Boise, ID 83709",Boise,Ada,N/A,Yes
2A Armament,"Gun Store, FFL Dealer",208-461-1213,"7545 S Eisenman Rd, Boise, ID 83716",Boise,Ada,N/A,Yes
6B Enterprises,"Gun Store, FFL Dealer",208-515-4848,"15 Janet Dr, Boise, ID 83716",Boise,Ada,N/A,Yes
Blac-Rac Manufacturing,Gun Manufacturer,208-855-9388,"274 N Maple Grove Rd #104, Boise, ID 83704",Boise,Ada,N/A,Yes
Brown Dogg LLC,"Gun Store, FFL Dealer",N/A,"11319 W Hollandale Dr, Boise, ID 83709",Boise,Ada,N/A,Yes
Shop Black Rifle,"Gun Store, Online Retailer",208-450-3044,Boise Area,Boise,Ada,shopblackrifle.com,Yes
Independence Indoor Shooting,"Gun Store, Indoor Range, Gunsmith, Training",208-576-4867,"2749 E Gala St, Meridian, ID 83642",Meridian,Ada,iishooting.com,Yes
Sportsman's Warehouse #104,"Gun Store, Sporting Goods",208-884-3000,"3797 E Fairview Ave, Meridian, ID 83642",Meridian,Ada,sportsmans.com,Yes
HawkTech Arms,"Gun Store, Gunsmith, FFL Dealer",208-898-5848,"3131 E Lanark St, Meridian, ID 83642",Meridian,Ada,hawktecharms.com,Yes
