Name,Type,Phone,Address,City,County,Website,Events
George W. Nourse Gun Range at Jubilee Park,Public Shooting Range,208-454-6884,"16802 Nash Rd, Nampa, ID 83686",Nampa,Canyon,canyoncounty.id.gov/project/george-w-nourse-gun-range/,Range maintenance & public use
Caldwell Gun Club,"Shooting Club, Public Range",208-459-2616,"21840 Pond Ln, Caldwell, ID 83607",Caldwell,Canyon,caldwellshotguncomplex.com,"Trap, 5-Stand, Sporting Clays, weekly practice, tournaments"
Nampa Rod & Gun Club,"Shooting Club, Public Range",N/A,"15053 Bennett Rd, Nampa, ID 83687",Nampa,Canyon,nragc.com,"Annual range cleanup, general shooting"
Black's Creek Public Shooting Range,Public Shooting Range,208-342-9614,"2420 E Kuna Mora Rd, Kuna, ID 83634",Kuna,Ada,idfg.idaho.gov/shoot/blacks-creek,"ID State BPCR Silhouette Championships, youth shoots"
Idaho Gun School,Training School,208-939-8224,"Nampa, ID",Nampa,Canyon,idahogunschool.com,"Safe gun handling, defensive use courses"
Legal Heat Concealed Carry Classes,Firearms Training,N/A,"Black's Creek Public Shooting Range, Kuna, ID",Kuna,Ada,legalheat.com,ID Enhanced License to Carry Concealed Weapons classes
Idaho Firearms Classes,Firearms Training,208-938-6090,Boise/Eagle,Boise,Ada,idahofirearmsclasses.com,"Basic to advanced training, CCW"
Nampa Public Shooting Range,Public Shooting Range,208-465-8400,"222 W Railroad St, Nampa, ID 83651",Nampa,Canyon,idfg.idaho.gov/shoot/nampa,"Open year round, diverse shooting sports"
Canyon County Concealed Weapons Program,Government Training Program,208-454-6909,"1115 Blaine St, Caldwell, ID 83605",Caldwell,Canyon,canyoncounty.id.gov/sheriff/concealed-weapons-permit/,CCW licensing & training
Caldwell Shooting Supplies,"Gun Store, Training Supplies",208-899-2920,"5247 S 10th Ave, Caldwell, ID 83607",Caldwell,Canyon,caldwellshooting.com,Ammo and shooting accessories
