Name,Type,Phone,Address,City,County,Website
Armageddon Armory,"FFL Dealer, Gun Shop, Gunsmith, Training",208-465-3577,"2809 Garrity Blvd, Nampa, ID 83687",Nampa,Canyon,armageddonarmory.com
Alpha Omega Services LLC,"FFL Dealer, Gun Shop",208-465-3577,"2809 Garrity Blvd, Nampa, ID 83687",Nampa,Canyon,N/A
Elite Rifle Works LLP,"FFL Dealer, Gunsmith",208-465-8039,"6045 Deer Flat Road, Nampa, ID 83686",Nampa,Canyon,eliterifleworks.com
Larry's Sporting Goods,"FFL Dealer, Gun Shop",208-467-9201,"Nampa, ID",Nampa,Canyon,N/A
Nemo Arms,"FFL Dealer, Manufacturer",208-442-4308,"Nampa, ID",Nampa,Canyon,N/A
RK Gunsmithing,"FFL Dealer, Gunsmith, Trainer",208-467-3075,"201 N Kings Rd Ste 101, Nampa, ID 83687",Nampa,Canyon,N/A
Tiffany Guns Zebra 12,"FFL Dealer, Gun Shop",208-461-6911,"Nampa, ID",Nampa,Canyon,N/A
Sportsman's Warehouse,"Gun Shop, Archery, Gunsmith",208-468-7600,"16865 N Market Place Blvd, Nampa, ID 83687",Nampa,Canyon,sportsmans.com
Reflex Tactical Idaho,Gun Shop,N/A,"824 12th Ave S, Nampa, ID 83651",Nampa,Canyon,reflextacticalidaho.com
Ken's Pawn & Jewelry,"Pawn Shop, Firearms",N/A,"608 12th Ave S, Nampa, ID 83651",Nampa,Canyon,kenspawn.com
208 Gun Shop,Gun Shop,N/A,"Nampa, ID",Nampa,Canyon,208gunshop.com
BGW Gunsmithing,Gunsmith,N/A,"2228 Cortland Place, Nampa, ID 83687",Nampa,Canyon,bgwidaho.com
Nampa Public Shooting Range,"Range, Archery, Airgun",N/A,"222 W Railroad St, Nampa, ID 83687",Nampa,Canyon,idfg.idaho.gov/shoot/nampa
Dundas Works LLC,"FFL Dealer, Gunsmith",N/A,"5305 Black Canyon Rd, Caldwell, ID 83607",Caldwell,Canyon,N/A
Owyhee Shooters Supply,"FFL Dealer, Gun Shop",N/A,"3822 Preston Ave, Caldwell, ID 83605",Caldwell,Canyon,N/A
Treasure Valley Pawn LLC,"Pawn Shop, Firearms",N/A,"6513 Cleveland Blvd Ste 101, Caldwell, ID 83607",Caldwell,Canyon,N/A
Wild Bills Sporting LLC,"FFL Dealer, Gun Shop",N/A,"2020 Blaine St, Caldwell, ID 83605",Caldwell,Canyon,N/A
D&B Supply,"Gun Shop, Archery, Gunsmith",N/A,"3913 Muller Drive, Caldwell, ID 83605",Caldwell,Canyon,N/A
D&B Supply Smeed Parkway,"Gun Shop, Archery, Gunsmith",N/A,"620 Smeed Parkway, Caldwell, ID 83605",Caldwell,Canyon,N/A
George W. Nourse Gun Range,Public Shooting Range,N/A,"16802 Nash Rd, Nampa, ID 83686",Nampa,Canyon,canyoncounty.id.gov/project/george-w-nourse-gun-range/
Caldwell Gun Club,"Shooting Club, Sportsmen",N/A,"21840 Pond Lane, Caldwell, ID 83607",Caldwell,Canyon,N/A
Midstar Firearms,"Gun Shop, Gunsmith, FFL Dealer",208-585-9922,"Middleton, ID",Middleton,Canyon,midstar-firearms.com
Vigilante Guns and Ammo,"Gun Shop, FFL Dealer",208-495-9855,"Melba, ID",Melba,Canyon,N/A
