Name,Type,Phone,Address,City,County,Website,Verified
Armageddon Armory,"Gun Store, Gunsmith, FFL Dealer, Training",208-465-3577,"2809 Garrity Blvd, Nampa, ID 83687",Nampa,Canyon,armageddonarmory.com,Yes
Alpha Omega Services LLC,"Gun Store, FFL Dealer",208-465-3577,"2809 Garrity Blvd, Nampa, ID 83687",Nampa,Canyon,N/A,Yes
Elite Rifle Works LLP,"Gun Store, Gunsmith, FFL Dealer",208-465-8039,"6045 Deer Flat Road, Nampa, ID 83686",Nampa,Canyon,eliterifleworks.com,Yes
Larry's Sporting Goods,"Gun Store, Sporting Goods, FFL Dealer",208-467-9201,"704 2nd St S, Nampa, ID 83651",Nampa,Canyon,larryssg.com,Yes
Nemo Arms,"Gun Manufacturer, FFL Dealer",208-442-4308,"1906 Smeed Pkwy, Caldwell, ID 83605",Nampa,Canyon,N/A,Yes
Nemo Arms Inc,"Gun Manufacturer, FFL Dealer",208-467-6366,"1906 Smeed Pkwy, Caldwell, ID 83605",Nampa,Canyon,N/A,Yes
RK Gunsmithing,"Gunsmith, Gun Store, FFL Dealer",208-467-3075,"201 N Kings Rd Ste 101, Nampa, ID 83687",Nampa,Canyon,N/A,Yes
Tiffany Guns Zebra 12,"Gun Store, FFL Dealer",208-461-6911,"Nampa, ID",Nampa,Canyon,N/A,Yes
Sportsman's Warehouse #224,"Gun Store, Sporting Goods",208-468-7600,"16865 N Market Place Blvd, Nampa, ID 83687",Nampa,Canyon,sportsmans.com,Yes
D&B Supply,"Gun Store, Sporting Goods, FFL Dealer",N/A,"3200 12th Ave Rd, Nampa, ID 83686",Nampa,Canyon,dbsupply.com,Yes
Big 5 Sporting Goods #308,"Gun Store, Sporting Goods",310-536-0611,"1601 Caldwell Blvd, Nampa, ID 83651",Nampa,Canyon,big5sportinggoods.com,Yes
Faith Outdoors LLC,"Gun Store, FFL Dealer",N/A,"2200 Cortland Pl, Nampa, ID 83687",Nampa,Canyon,N/A,Yes
Idaho Gun & Outdoors,"Gun Store, FFL Dealer",N/A,"16188 N Merchant Way, Nampa, ID 83687",Nampa,Canyon,N/A,Yes
Accura Outdoors,"Gun Store, Manufacturer",N/A,"2316 E Railroad St, Nampa, ID 83687",Nampa,Canyon,N/A,Yes
Vista Pawn Nampa,"Pawn Shop, Firearms",N/A,"130 Caldwell Blvd, Nampa, ID 83651",Nampa,Canyon,N/A,Yes
Snake River Rifleworks,"Gun Store, Gunsmith, FFL Dealer",N/A,"13930 S Piano Ave, Nampa, ID 83651",Nampa,Canyon,N/A,Yes
Lucky Shot Ammunition & Guns LLC,"Gun Store, Ammunition, FFL Dealer",N/A,"801 W Peirsol St, Nampa, ID 83686",Nampa,Canyon,N/A,Yes
Northwest Gun Supply,"Gun Store, Manufacturer, AK Specialist",208-505-0130,"12338 Ranchview Dr, Nampa, ID 83686",Nampa,Canyon,northwestgunsupply.com,Yes
Blazzard Firearms,"Gun Store, FFL Dealer",208-789-6430,"1208 E Pennsylvania Pl, Nampa, ID 83686",Nampa,Canyon,N/A,Yes
Canyon County Precisions LLC,"Gun Store, FFL Dealer",208-697-6167,"647 Teton Dr, Nampa, ID 83686",Nampa,Canyon,N/A,Yes
R2ARM,"Gun Store, FFL Dealer",N/A,"16760 Idaho Center Blvd, Nampa, ID 83687",Nampa,Canyon,N/A,Yes
Caracal USA,Gun Manufacturer,N/A,"8600 Birch Lane Suite 100, Nampa, ID 83687",Nampa,Canyon,N/A,Yes
Ken's Pawn & Jewelry,"Pawn Shop, Firearms",N/A,"608 12th Ave S, Nampa, ID 83651",Nampa,Canyon,kenspawn.com,Yes
Reflex Tactical Idaho,Gun Store,N/A,"824 12th Ave S, Nampa, ID 83651",Nampa,Canyon,reflextacticalidaho.com,Yes
208 Gun Shop,Gun Store,N/A,"Nampa, ID",Nampa,Canyon,208gunshop.com,Yes
Idaho Air Gun,"Air Gun Store, Specialty Firearms",N/A,"Nampa, ID",Nampa,Canyon,idahoairgun.com,Yes
