Name,Type,Phone,Address,City,County,Website,Events
Black's Creek Public Shooting Range,Public Shooting Range,208-342-9614,"2420 E Kuna Mora Rd, Kuna, ID 83634",Kuna,Ada,idfg.idaho.gov/shoot/blacks-creek,"Long Range Match, Youth Shoots, Benchrest Matches"
Independence Indoor Shooting,"Indoor Shooting Range, Shop, Training",208-852-4867,"2749 E Gala Ct, Meridian, ID 83642",Meridian,Ada,iishooting.com,"Full Auto Experience, Defensive Pistol Courses"
Double Tapp Range,"Private Shooting Range, Training",208-559-3337,"16 miles East of Boise, ID",Boise,Ada,doubletappboise.com,"Membership Only, Tactical Shooting Events"
Idaho Firearms Classes,Firearm Training School,208-938-6090,"Boise, ID",Boise,Ada,idahofirearmsclasses.com,"Basic to Advanced Firearms Training, CCW Classes"
Timberline Firearms & Training,Shop & Training,208-375-1421,"1005 N Orchard St, Boise, ID 83706",Boise,Ada,timberlinefirearmsandtraining.com,"NRA Certified Training, Women's Shooting Classes"
On Target Indoor Shooting Range,Indoor Range & Shop,208-672-5858,"15 E 40th St, Garden City, ID 83714",Garden City,Ada,ontargetindoorrange.com,"Leagues, Group Events, Competitive Shooting"
Meridian Shooting Club,Private Shooting Club,208-888-0181,"4404 W Chinden Blvd, Meridian, ID 83646",Meridian,Ada,,,Youth Programs
Boise Gun Club,Private Shooting Club,208-939-8322,"10660 W Beacon Light Rd, Boise, ID 83709",Boise,Ada,boisegunclub.net,"Trap, Skeet, Sporting Clays, Rifle Matches"
Shooter's Edge,Indoor Range & Shop,208-376-3343,"9025 W Overland Rd, Boise, ID 83709",Boise,Ada,shootersedgeboise.com,"Training Classes, Competitive Leagues"
Treasure Valley Tactical,Training & Services,208-859-5290,"Boise, ID",Boise,Ada,treasurevalleytactical.com,"Tactical Training, Concealed Carry, Competition Prep"
Quick Draw Shooting Sports,Indoor Range & Shop,208-887-0550,"605 N Cole Rd, Boise, ID 83704",Boise,Ada,quickdrawshootingsports.com,"Range Time, Firearms Training, Gunsmithing"
Guns for Fun,Shop & Range,208-362-3411,"1920 S Orchard St, Boise, ID 83705",Boise,Ada,gunsforfunboise.com,"Indoor Range, Firearms Sales"
Eagle Gun Range,Indoor Range,208-939-4867,"271 E State St, Eagle, ID 83616",Eagle,Ada,eaglegunrange.com,"Open Shooting, Private Events"
Sportsman's Warehouse - Meridian,Retail Store,208-888-4962,"1280 E Fairview Ave, Meridian, ID 83642",Meridian,Ada,sportsmanswarehouse.com,"Hunting/Shooting Supplies, No Range"
Cabela's - Boise,Retail Store,208-287-2800,"7965 W Cabela Dr, Boise, ID 83709",Boise,Ada,cabelas.com,"Outdoor Gear, Gun Counter, No Range"
Boise Valley Gunsmithing,Gunsmith,208-345-7990,"Boise, ID",Boise,Ada,,,Custom Work
