license_name,business_name,premise_street,premise_city,premise_state,premise_zip_code,voice_phone
1199 TACTICAL LLC,,2825 S FOX TROOP PLACE,EAGLE,ID,83616,2088061478
20 / 20 SPORTING SERVICES,,1175 W BOISE AVENUE SUITE A,BOISE,ID,83706,2088664870
"3S GUN SALES, LLC",3S GUN SALES,5131 N FOX RUN WAY,MERIDIAN,ID,83646,2083394907
43RD STATE ARMORY LLC,,21361 SHADY RIVER LN,CALDWELL,ID,83607,2086141910
6B SOLUTIONS LLC,RIFLE GURU,5282 W WHITE HILLS DR,BOISE,ID,83714,2084841791
6B SOLUTIONS LLC,RIFLE GURU,5282 W WHITE HILLS DR,BOISE,ID,83714,2084841791
ACCURA BULLETS LLC,ACCURA OUTDOORS,2316 E RAILROAD ST,NAMPA,ID,83687,2084669975
ADAPTIVE TACTICAL LLC,ADTAC,2102 NORTH DEVLIN WAY,NAMPA,ID,83687,2084428000
"AEVERMANN, NICHOLAS SCOTT",OWYHEE SHOOTERS SUPPLY,3822  PRESTON AVE,CALDWELL,ID,83605,2083188292
AFSHARI GROUP LLC,LOST COAST TACTICAL,1945 W HENDRICKS CT,MERIDIAN,ID,83646,4254639339
ALS PAWN AND GUN INC,,5602 CLEVELAND BLVD,CALDWELL,ID,83607,2084548038
AMMO ENTERPRISES LLC,PEW BUYERS CLUB,507 E 47TH SUITE 100-2A,GARDEN CITY,ID,83714,2083330591
"AMMOSMITH, LLC",,3515 E CONGRESSIONAL DR,MERIDIAN,ID,83642,2083196598
AMMOSQUARED INC,,3630 E COMSTOCK AVE,NAMPA,ID,83687,2089960450
"AMOUREUX, RAMON T",RAYS GUNS & AMMO,1969 W RED FEATHER WAY,MERIDIAN,ID,83646,2088701712
ANODIZERS INC,HIGH BORN TACTICAL,400 N FIVE MILE RD,BOISE,ID,83713,2083781884
ASG BOISE LLC,AL'S SPORTING GOODS,1301 N MILWAUKEE ST,BOISE,ID,83704,2088017494
BADLANDS RIFLE COMPANY LLC,,291 E SHORE DR SUITE 120,EAGLE,ID,83616,5416403052
BEAR CREEK FIREARMS LLC,,13445 W WITTENBURG ST,BOISE,ID,83713,2088718435
BENNETT MOUNTAIN OUTFITTERS LLC,BENNETT MOUNTAIN OUTFITTERS,1645 N CLARENDON WAY,EAGLE,ID,83616,2083520058
BIG 5 CORP,BIG 5 SPORTING GOODS #308,1601 CALDWELL BLVD,NAMPA,ID,83651,3105360611
BIG 5 CORP,BIG 5 SPORTING GOODS #279,101 NORTH MILWAUKEE STREET,BOISE,ID,83704,3105360611
BIG 5 CORP,BIG 5 SPORTING GOODS #391,6762 NORTH GLENWOOD ST,BOISE,ID,83714,3105360611
"BJORALT, JASON ALLEN",BJORALT FIREARMS,6489 E MONROE ST,NAMPA,ID,83687,2085765534
BLAZZARD FIREARMS LLC,BLAZZARD FIREARMS,1208 E PENNSYLVANIA PL,NAMPA,ID,83686,2087896430
BLUE FALCON TACTICAL LLC,,9393 WEST KUNA RD,KUNA,ID,83634,2084619387
BOISE BLACK RIFLE INC,,1580 N STONEHENGE WAY # 102,MERIDIAN,ID,83642,2084503044
BOISE PAWN LLC,,6465 W FAIRVIEW AVE,BOISE,ID,83704,8332647296
"BOISE TACTICAL, LLC",BOISE TACTICAL,440 N FIVE MILE RD,BOISE,ID,83713,2088602890
"BOUDREAUMADEIT, LLC",SNAKE RIVER GUNWORKS,8537 WEST SMALL CREEK DRIVE,BOISE,ID,83709,2082214528
"BUCKLEY, ROY B",CHARTERS MTN GUN SHOP,19300 MARSING RD,CALDWELL,ID,83607,2084590978
BULLPEN INVESTMENTS INC,"IDAHO PAWN & GOLD, SAM'S LOCKER",451 N MAIN ST,MERIDIAN,ID,83642,2084878003
BULLPEN INVESTMENTS INC,IDAHO PAWN & GOLD,615 WEST CALDWELL BLVD,NAMPA,ID,83651,2084878003
"BUNCH, DOUGLAS R",D & B SPORTING ARMS,1419 NORTH 23RD,BOISE,ID,83702,2083424920
"C & C GSR, INC","CLIFFS GUNS, SAFES, RELOADING","11505 W FAIRVIEW AVE, SUITE 101",BOISE,ID,83713,2083758694
CORBETT AUCTIONS & APPRAISALS INC,,547 E. STAGECOACH,KUNA,ID,83634,2088889563
D&B SUPPLY LLC,D&B SUPPLY,620 SMEED PARKWAY,CALDWELL,ID,83605,2084597446
D&B SUPPLY LLC,D&B SUPPLY,3913 MULLER DRIVE,CALDWELL,ID,83605,2084597445
D&B SUPPLY LLC,D&B SUPPLY,1845 E DEER FLAT ROAD,KUNA,ID,83634,2088017500
D&B SUPPLY LLC,D&B SUPPLY ,1725 E FAIRVIEW AVE,MERIDIAN,ID,83642,2088870949
D&B SUPPLY LLC,D&B SUPPLY,3200 12TH AVE RD,NAMPA,ID,83686,2084597446
D&B SUPPLY LLC,D&B SUPPLY,6945 OVERLAND ROAD,BOISE,ID,83709,2084597446
"DAMIN, JON E",JON'S GUNS,936 N GLEN ASPEN WAY,STAR,ID,83669,2086391234
"DAVIDSON, CHARLES  & DAVIDSON, LINDA",WORKMAN OUTFITTERS,1008 VISTA,BOISE,ID,837050000,2083425479
"DELHOUSAYE, KENT",EAGLE FIREARMS,939 S LAKE POINTE WAY,EAGLE,ID,83616,4803230466
EAGLE GUN COMPANY LLC,EAGLE GUN COMPANY,10539 W THIMBLEBERRY DR,STAR,ID,83669,2089173560
"ECHELON RIFLES, LLC",,2106 PRIMROSE LN,NAMPA,ID,83686,2083203299
"ELITE FIREARM SOLUTIONS, LLC",,110 E 43RD STREET SUITE 100,GARDEN CITY,ID,83714,9168498736
ELITE RIFLE WORKS LLP,,6045 DEER FLAT ROAD,NAMPA,ID,83686,2084658039
FAITH OUTDOORS LLC,,2200 CORTLAND PL,NAMPA,ID,83687,2086868986
"FECHER, BLAKE HENRY",B H GUNS,6128 W FAIRVIEW AVE UNIT 1M-6,BOISE,ID,83704,2088635059
"FONES, TONY D",SHOOTERS BEST BUY,6009 S LATIGO DR,BOISE,ID,83709,2089215860
FREE STATE GUNSMITHING LLC,,16089 N FRANKLIN STE 4,NAMPA,ID,83687,2089076461
"GEORGEVITCH, MIODROG MIJILO & DENISE ANNE",OMG TACTICAL ARMORY,11674 W COLLINA VISTA DRIVE,NAMPA,ID,83686,8053047931
GIBSON FIREARMS LLC,,7127 W WAVERLY CT,BOISE,ID,83704,2088679298
"GRAFE, JAMES BRADLEY",NORTH WEST PRECISION RIFLES,2215 WYOMING AVE,CALDWELL,ID,83605,2088991424
GULFSTREAM OUTDOORS LLC,IDAHO GUN & OUTDOORS,16188 N MERCHANT WAY,NAMPA,ID,83687,2085460100
GULFSTREAM OUTDOORS LLC,IDAHO GUN & OUTDOORS,8600 W FRANKLIN RD,BOISE,ID,83709,2083781600
"GUNSBAY, LLC",,"913 S LATAH STREET, SUITE D",BOISE,ID,83705,9862134380
HAPPY TIME FIREARMS LLC,HAPPY TIME FIREARMS,19137 S PLEASANT VALLEY RD,KUNA,ID,83634,2089949946
HARGAN PRECISION RIFLEWORKS LLC,,3822 SOUTH SUMTER WAY,BOISE,ID,83709,2088704968
"HAVENS, DARREN JAMES",VETERANS FIREARMS,533 W PALMER DR,NAMPA,ID,83686,2085906341
"HEIDA, JOHN",HEIDA FIREARMS,17281 USTICK RD,CALDWELL,ID,83607,2086141874
"IDAHO 2A TACTICAL, LLC",I2AT,5202 N MORNINGGALE WAY,BOISE,ID,83713,2082987916
IDAHO AIR GUN LLC,,222 W RAILROAD ST,NAMPA,ID,83687,2084424422
