license_name,business_name,premise_street,premise_city,premise_state,premise_zip_code,voice_phone
1199 TACTICAL LLC,,2825 S FOX TROOP PLACE,EAGLE,ID,83616,2088061478
1ST CLASS BUSINESS SOLUTIONS CORP,ARMA15,801 LOS LUCEROS DR,EAGLE,ID,83616,2103879797
20 / 20 SPORTING SERVICES,,1175 W BOISE AVENUE SUITE A,BOISE,ID,83706,2088664870
208 LASER ENGRAVING LLC,208 LASER ENGRAVING,77 S INVERNESS DR,NAMPA,ID,83651,4256983961
2ND C LLC,KEEK'S SUPPLY,4910 JAKE AVE,CHUBBUCK,ID,83202,2083808399
"3S GUN SALES, LLC",3S GUN SALES,5131 N FOX RUN WAY,MERIDIAN,ID,83646,2083394907
406 GUN LOCKER,BLACK CANYON PRECISION ,780 CLIFFORD DR,EMMETT,ID,83617,2089630429
43RD STATE ARMORY LLC,,21361 SHADY RIVER LN,CALDWELL,ID,83607,2086141910
5 RULES LLC,EVERYDAY ARMIS,1666 WEST TOPANGA DRIVE,KUNA,ID,83634,5307399694
6B SOLUTIONS LLC,RIFLE GURU,5282 W WHITE HILLS DR,BOISE,ID,83714,2084841791
6B SOLUTIONS LLC,RIFLE GURU,5282 W WHITE HILLS DR,BOISE,ID,83714,2084841791
"A&T PROFESSIONAL SERVICES, LLC",SUGAR GUN RUNNERS,302 SOUTH CUTLER AVE,SUGAR CITY,ID,83448,2083606338
ACCURA BULLETS LLC,ACCURA OUTDOORS,2316 E RAILROAD ST,NAMPA,ID,83687,2084669975
ACES AUCTIONS CONSIGNMENTS AND ESTATE SALES LLC,ACES AUCTIONS,309 16TH STREET,LEWISTON,ID,83501,2087902437
"ACKERMAN, SHARON KAY",ACKS AUCTION & TRADING POST,920 S CHALLIS ST,SALMON,ID,83467,2087564980
ADA ARMAMENTS LLC,ADA ARMAMENTS,7305 S GLENRIDGE VIEW DR,BOISE,ID,83709,2088636869
ADAPTIVE TACTICAL LLC,ADTAC,2102 NORTH DEVLIN WAY,NAMPA,ID,83687,2084428000
"AEVERMANN, NICHOLAS SCOTT",OWYHEE SHOOTERS SUPPLY,3822  PRESTON AVE,CALDWELL,ID,83605,2083188292
AFSHARI GROUP LLC,LOST COAST TACTICAL,1945 W HENDRICKS CT,MERIDIAN,ID,83646,4254639339
"ALLAN, MICHAEL J",ALLAN'S AUTOMOTIVE,211 W 40TH STREET,GARDEN CITY,ID,83714,2083453421
"ALLRED, DARL G",OUTFITTER TRADING POST,15 STERLING LANE,GARDEN VALLEY,ID,83622,2088592725
ALS PAWN AND GUN INC,,5602 CLEVELAND BLVD,CALDWELL,ID,83607,2084548038
AMERICAN UPLAND IMPORTS LLC,AMERICAN UPLAND/AUI,2837 NW 11TH AVE,MERIDIAN,ID,83646,6052164880
AMMO ENTERPRISES LLC,PEW BUYERS CLUB,507 E 47TH SUITE 100-2A,GARDEN CITY,ID,83714,2083330591
"AMMOSMITH, LLC",,3515 E CONGRESSIONAL DR,MERIDIAN,ID,83642,2083196598
AMMOSQUARED INC,,3630 E COMSTOCK AVE,NAMPA,ID,83687,2089960450
"AMOUREUX, RAMON T",RAYS GUNS & AMMO,1969 W RED FEATHER WAY,MERIDIAN,ID,83646,2088701712
"ANDERSON, ALLEN  &  SHANNA",QUICK PAWN,1050 OVERLAND AVE,BURLEY,ID,83318,2086772743
"ANDERSON, JOHN C",MB GUNS,29 RIVERSTONE BEND SUITE B,IDAHO CITY,ID,83631,9162037376
"ANDERSON, JUSTIN FRAMPTON",JUSTIN ANDERSON GUNSMITHING,470 RUSHO LN,BLANCHARD,ID,83804,2089468340
"ANDERSON, MAURICE H",ANDY'S GUN SHOP,640 COUNTY RD,ARCO,ID,832130000,2085273900
ANODIZERS INC,HIGH BORN TACTICAL,400 N FIVE MILE RD,BOISE,ID,83713,2083781884
ANTARES TECHNOLOGIES INC,AUTOMATIC WEAPONS COMPANY,15005 N MCFARLAND CREEK RD #B,BOISE,ID,83714,2089382173
"APD MANUFACTURING, LLC",STINGER-DEFENSE,1320 SMITH AVE,NAMPA,ID,83651,2089953208
"ARMORY 47, LLC",ARMORY 47,740 N CECIL RD SUITE 102,POST FALLS,ID,83854,2086712567
"ARMSTRONG, BENJAMIN T",BLACK DESERT TACTICAL,270 VILLA DR,HEYBURN,ID,83336,2084305544
ASG BOISE LLC,AL'S SPORTING GOODS,1301 N MILWAUKEE ST,BOISE,ID,83704,2088017494
ASG IF LLC,AL'S SPORTING GOODS,2395 EAST 17TH STREET,IDAHO FALLS,ID,83404,2087159500
"ATWELL, MICHAEL A & ATWELL, JUSTIN K",ATWELL GUN WORKS,504 A E MULLAN AVE,OSBURN,ID,83849,2085560821
"AVERY, TRAVIS B",I2AT,5202 N MORNINGGALE WAY,BOISE,ID,83713,2082987916
AXIAL PRECISION LLC,ALLTERRA ARMS / ALLTERRA,6898 SUPPLY WAY STE 100,BOISE,ID,83716,2086085179
"B&H ENTERPRISES, LLC",UPPER LEVEL GUNSMITHING,3814 CLEARFIELD LN,AMMON,ID,83406,2088218483
BADLANDS RIFLE COMPANY LLC,,291 E SHORE DR SUITE 120,EAGLE,ID,83616,5416403052
"BAHR, DEREK",DEREKS GUNSMITHING,4052 E 1400 N,ASHTON,ID,83420,2086527221
"BAILEY, RANDAL T",RANDAL BAILEY ARMS,3705 NORMANDIE DR,BOISE,ID,837050000,2086311287
"BAILEY, RANDAL T",RANDAL BAILEY ARMS,3705 NORMANDIE DR,BOISE,ID,837050000,2086311287
"BAKER, EVAN L",EVANS GUN REPAIR,5200 HWY 95,FRUITLAND,ID,83619,2084525958
"BAKER, HAROLD JAMES & BAKER, SUZETTE MARIE",GOODDAY PAWN & AUTO,324 SCOTT AVE,RUPERT,ID,83350,2084368894
"BARKER, JAMES W & BARKER, DIXIE L",EAGLE ROCK SPORTING GOODS,7685 S 15TH E,IDAHO FALLS,ID,834040000,2087094881
"BASS PRO OUTDOOR WORLD, LLC",CABELA'S 419,8109 W FRANKLIN ROAD,BOISE,ID,83709,2086727900
"BATTAGLIA, RICHARD ALFRED",SHOOTING SPORTS SPECIALTIES,3873 HAGEN CT,NEW MEADOWS,ID,83654,2083018677
"BAUMGARTNER, PAUL R",PAULS SPORT SHOP,1234 OAKLEY AVE,BURLEY,ID,833180000,2086781573
"BEAL, GREG A",BLACKROCK GUNS & AMMO,19561 BLACKROCK RD,CATALDO,ID,83810,2086893464
BEAR CREEK FIREARMS LLC,,13445 W WITTENBURG ST,BOISE,ID,83713,2088718435
"BECK, CLIFFORD J",CLIFFS GUNSMITHING,1128 CRUMARINE LOOP RD,MOSCOW,ID,838430000,5095957468
"BENDU ARMORY, LLC",NORTH REACH MANUFACTURING,3232 E 650 N,MENAN,ID,83434,7149438133
"BENKENSTEIN, URSULA",US GUN REPAIR,2862 E 634 N,ROBERTS,ID,83444,2082283732
BENNETT MOUNTAIN OUTFITTERS LLC,BENNETT MOUNTAIN OUTFITTERS,1645 N CLARENDON WAY,EAGLE,ID,83616,2083520058
BEYOND PRIMAL FIREARMS LLC,BEYOND PRIMAL FIREARMS,550 B THAIN RD,LEWISTON,ID,83501,2087915011
BI MART CORP,BI MART #614,425 N 10TH AVE,CALDWELL,ID,83605,5413340681
BI MART CORPORATION,BI MART #688,1277 E DEER FLAT RD,KUNA,ID,83634,2082878986
BIG 5 CORP,BIG 5 SPORTING GOODS #266,700 W QUINN RD,POCATELLO,ID,83202,3105360611
BIG 5 CORP,BIG 5 SPORTING GOODS #248,1036 BLUE LAKES BLVD N,TWIN FALLS,ID,833010000,3105360611
BIG 5 CORP,BIG 5 SPORTING GOODS #240,1851 S 25TH E (HITT RD IN AMMON CITY),IDAHO FALLS,ID,834060000,3105360611
BIG 5 CORP,BIG 5 SPORTING GOODS #308,1601 CALDWELL BLVD,NAMPA,ID,83651,3105360611
BIG 5 CORP,BIG 5 SPORTING GOODS #279,101 NORTH MILWAUKEE STREET,BOISE,ID,83704,3105360611
BIG 5 CORP,BIG 5 SPORTING GOODS #391,6762 NORTH GLENWOOD ST,BOISE,ID,83714,3105360611
BIG 5 CORP,BIG 5 SPORTING GOODS #183,125 E APPLEWAY AVE,COEUR D ALENE,ID,838140000,3105360611
BIG 5 CORP,BIG 5 SPORTING GOODS #410,615 NORTH 5TH AVENUE,SANDPOINT,ID,83864,3105360611
BIG CREEK ARMORY LLC,BIG CREEK ARMORY,13 MINERS COURT,CASCADE,ID,83611,2086956423
"BIGHORN GUNSMITHING, LLC",BIGHORN GUNSMITHING,4110 HWY 30 W,NEW PLYMOUTH,ID,83655,2082781159
BIMART CORP,BIMART #689,11347 W STATE ST,STAR,ID,83669,2089725178
BI-MART CORPORATION,BI-MART #628,407 12TH AVENUE,NAMPA,ID,83686,5413340681
BISHOP AMMUNITION MANUFACTURING LLC,BISHOP AMMUNITION AND FIREARMS,8249 W PORTNEUFF ROAD,POCATELLO,ID,83204,2082333912
"BJORALT, JASON ALLEN",BJORALT FIREARMS,6489 E MONROE ST,NAMPA,ID,83687,2085765534
BLACK DOG MACHINE LLC,B D M ,21793 HIGHWAY 20/26,CALDWELL,ID,83607,2084651940
"BLACK LABEL PRECISION, CORP",BLACK LABEL PRECISION,10451 W  DAYLILY CT,STAR,ID,83669,5188608250
BLACKTAIL ARMORY LLC,BLACKTAIL ARMORY,1653 SAGLE RD,SAGLE,ID,83860,2089467225
BLAZZARD FIREARMS LLC,BLAZZARD FIREARMS,1208 E PENNSYLVANIA PL,NAMPA,ID,83686,2087896430
BLUE FALCON TACTICAL LLC,,9393 WEST KUNA RD,KUNA,ID,83634,2084619387
BMADDOX ENTERPRISES LLC,SILENCER CENTRAL,327 W LIL ROBERT CT,KUNA,ID,836345075,8887818778
BOISE BLACK RIFLE INC,,1580 N STONEHENGE WAY # 102,MERIDIAN,ID,83642,2084503044
BOISE PAWN LLC,,6465 W FAIRVIEW AVE,BOISE,ID,83704,8332647296
"BOISE TACTICAL, LLC",BOISE TACTICAL,440 N FIVE MILE RD,BOISE,ID,83713,2088602890
BOOTLEG INCORPORATED,BOOTLEG INC,1336 S CROOKED FENCE LANE,KUNA,ID,83634,2179797730
