id,name,type,category,phone,address,city,county,website,verified,events,tier,refresh_frequency,source_file,last_updated
322f18f3,1199 TACTICAL LLC,"Gun Store, FFL Dealer",retail,2088061478,"2825 S FOX TROOP PLACE, EAGLE, ID",EAGLE,Ada,,True,,2,weekly,commercial_ffls_treasure_valley.csv,2025-08-20T00:00:00.000Z
24c920f6,1791 PRECISION ARMORY,"Gun Store, FFL Dealer",retail,2094434027,"18232 N CAMAS CREEK AVE, NAMPA, ID",NAMPA,Canyon,,True,,2,weekly,commercial_ffls_treasure_valley.csv,2025-08-20T00:00:00.000Z
24c920f6,1791 PRECISION ARMORY,"Gun Store, FFL Dealer",retail,2094434027,"18232 N CAMAS CREEK AVE, NAMPA, ID",NAMPA,Canyon,,True,,2,weekly,commercial_ffls_treasure_valley.csv,2025-08-20T00:00:00.000Z
c3cfa2a4,20 / 20 SPORTING SERVICES,FFL Dealer,retail,2088664870,"1175 W BOISE AVENUE SUITE A, BOISE, ID",BOISE,Ada,,True,,2,weekly,commercial_ffls_treasure_valley.csv,2025-08-20T00:00:00.000Z
2d3e421d,20/20 Sporting Services,"Gun Store, FFL Dealer",retail,208-866-4870,"1175 W Boise Ave Suite A, Boise, ID 83706",Boise,Ada,,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.153Z
f0b587e4,208 Gun Shop,"Gun Store, Online Retailer",retail,N/A,Idaho Operations,Idaho,Ada,208gunshop.com,true,,2,weekly,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.158Z
6932cc65,208 Gun Shop,Gun Store,retail,N/A,"Nampa, ID",Nampa,Canyon,208gunshop.com,true,,1,daily,docs/canyon_county_gun_stores_only.csv,2025-08-18T23:40:42.159Z
256b7299,208 LASER ENGRAVING,FFL Dealer,retail,4256983961,"77 S INVERNESS DR, NAMPA, ID",NAMPA,Canyon,,True,,2,weekly,commercial_ffls_treasure_valley.csv,2025-08-20T00:00:00.000Z
70cb93a1,208 Laser Engraving,"Gun Services, Custom Engraving",retail,N/A,"77 S Inverness Dr, Nampa, ID 83651",Nampa,Canyon,,true,,2,weekly,docs/canyon_county_gun_stores_only.csv,2025-08-18T23:40:42.159Z
cffd03a1,208 PRECISION,Gun Manufacturer,retail,2085712243,"9019 N BROADWOOD LANE, EAGLE, ID",EAGLE,Ada,,True,,2,weekly,commercial_ffls_treasure_valley.csv,2025-08-20T00:00:00.000Z
174397e2,208 Precision,"Gunsmith, FFL Dealer",retail,208-571-2243,"9019 N Broadwood Ln, Eagle, ID 83616",Eagle,Ada,,true,,2,weekly,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.158Z
3ce41e78,2A ARMAMENT,Gun Manufacturer,retail,2084611213,"7545 S EISENMAN RD, BOISE, ID",BOISE,Ada,,True,,2,weekly,commercial_ffls_treasure_valley.csv,2025-08-20T00:00:00.000Z
5c7c524b,2A Armament,"Gun Store, FFL Dealer",retail,208-461-1213,"7545 S Eisenman Rd, Boise, ID 83716",Boise,Ada,,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.157Z
179a8c55,2C GUNSMITHING LLC,"Gun Store, Gunsmith, FFL Dealer",retail,2089717000,"20816 WHITTIER DRIVE, GREENLEAF, ID",GREENLEAF,Canyon,,True,,2,weekly,commercial_ffls_treasure_valley.csv,2025-08-20T00:00:00.000Z
