Name,Type,Phone,Address,City,County,Website
Black Canyon Precision,"FFL Dealer, Gunsmith",N/A,"780 Clifford Dr, Emmett, ID 83617",Emmett,Gem,N/A
"Alexander, Elden Lane Sr & Jr","FFL Dealer, Gunsmith",N/A,"2121 Misty Lane, Emmett, ID 83617",Emmett,Gem,N/A
Rocky Mountain True Value,"FFL Dealer, Gun Shop",N/A,"132 S Washington Ave, Emmett, ID 83617",Emmett,Gem,N/A
Benfield Precision LLC,Manufacturer,N/A,"2120 Jubilee Ln, Emmett, ID 83617",Emmett,Gem,N/A
Bi-Mart #681,"FFL Dealer, Gun Shop",(208) 477-5270,"179 W Highway 52, Emmett, ID 83617",Emmett,Gem,N/A
Burr International Inc,"FFL Dealer, Gun Shop",N/A,"1455 Star Ln, Emmett, ID 83617",Emmett,Gem,N/A
D&B Supply,"FFL Dealer, Gun Shop",N/A,"111 Hwy 16, Emmett, ID 83617",Emmett,Gem,N/A
Emmett Gun Store,"FFL Dealer, Manufacturer, Gun Shop",N/A,"2119 S Mill Rd, Emmett, ID 83617",Emmett,Gem,N/A
Ferguson and Sons Construction LLC,Importer,N/A,"5225 Butte Rd, Emmett, ID 83617",Emmett,Gem,N/A
Gardner Arsenal LLC,Manufacturer,N/A,"3711 W Idaho Blvd, Emmett, ID 83617",Emmett,Gem,N/A
Kingfisher Sporting Goods & Pawn,"Pawn, Gun Shop, Archery, Fishing",N/A,"143 W Main St, Emmett, ID 83617",Emmett,Gem,N/A
Hudson Arms,"Gunsmith, FFL Dealer, Firearm Sales",208-691-6452,"3560 Bishop Rd, Emmett, ID 83617",Emmett,Gem,hudsonarms.net
Little Trapper Idaho Inc,"FFL Dealer, Gun Shop, Taxidermy",N/A,"11300 Pearl Rd, Emmett, ID 83617",Emmett,Gem,N/A
Gem County Rod & Gun Club,"Shooting Club, Range",208-365-4551,"Emmett, ID 83617",Emmett,Gem,gcrgc.net
Kingfisher Archery,Archery Equipment & Range,N/A,"143 W Main St, Emmett, ID 83617",Emmett,Gem,N/A
