Name,Type,Phone,Address,City,County,Website,Verified
Black Canyon Precision,"Gun Store, Gunsmith, FFL Dealer",N/A,"780 Clifford Dr, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Emmett Gun Store,"Gun Store, Manufacturer, FFL Dealer",208-870-2020,"2119 South Mill Rd, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Hudson Arms,"Gun Store, Gunsmith, FFL Dealer",208-691-6452,"3560 Bishop Road, Emmett, ID 83617",Emmett,Gem,hudsonarms.net,Yes
Kingfisher Sporting Goods & Pawn,"Gun Store, Pawn, Sporting Goods",208-365-9881,"143 West Main St, Emmett, ID 83617",Emmett,Gem,kingfishersportinggoods.com,Yes
D&B Supply Emmett,"Gun Store, Sporting Goods, FFL Dealer",208-963-7040,"111 ID-16, Emmett, ID 83617",Emmett,Gem,dbsupply.com,Yes
Bi-Mart #681,"Gun Store, Sporting Goods",208-477-5270,"179 West Highway 52, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Rocky Mountain True Value,"Gun Store, FFL Dealer",N/A,"132 South Washington Ave, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Rocky Mountain Gun N Pawn,"Gun Store, Pawn",208-365-4044,"829 S Washington Ave, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Larry's Sports,"Gun Store, Sporting Goods, FFL Dealer",N/A,"2139 N Plaza Rd, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Little Trapper Inc,"Gun Store, FFL Dealer",208-996-3555,"11300 Pearl Road, Emmett, ID 83617",Emmett,Gem,littletrapper.com,Yes
Burr International Inc,"Gun Store, FFL Dealer",N/A,"1455 Star Ln, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Low Mountain,"Gun Store, FFL Dealer",N/A,"1333 West Highway 52, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Rowley Enterprises,"Gun Store, FFL Dealer",N/A,"3108 Laurel Way, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Wild Thang Farms,"Gun Store, FFL Dealer",N/A,"3150 Fuller Rd, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Jerry Harshbarger Gunsmith,"Gunsmith, Gun Store",N/A,"2838 East Black Canyon Hwy, Emmett, ID 83617",Emmett,Gem,N/A,Yes
"Alexander, Elden Lane Sr & Jr","Gunsmith, FFL Dealer",N/A,"2121 Misty Lane, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Gardner Arsenal LLC,Gun Manufacturer,N/A,"3711 West Idaho Blvd, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Benfield Precision LLC,Gun Manufacturer,N/A,"2120 Jubilee Ln, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Up In Arms Armory,Gun Manufacturer,N/A,"1997 West Idaho Blvd, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Veriforce Tactical,Gun Manufacturer,N/A,"3315 Kings Ln #1, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Walker Winchesters,Gun Manufacturer,N/A,"506 N Washington Ave, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Little Trapper Idaho Inc,"Gun Importer, FFL Dealer",N/A,"11300 Pearl Road, Emmett, ID 83617",Emmett,Gem,N/A,Yes
Ferguson and Sons Construction LLC,Gun Importer,N/A,"5225 Butte Rd, Emmett, ID 83617",Emmett,Gem,N/A,Yes
