event_name,event_type,start_date,end_date,venue,address,organizer,entry_fee,description,website,phone,category,frequency,state,country,created_date,predicted
Caldwell Gun Club Weekly Trap Shoot,Competition,2025-09-04,2026-09-30,Caldwell Gun Club,"21840 Pond Ln, Caldwell, ID 83607",Caldwell Gun Club,$15,"Weekly trap shooting, sporting clays, and 5-stand competitions",caldwellshotguncomplex.com,208-459-2616,Competition,Weekly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2025-09-06,2025-09-06,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Great Idaho Gun Show - Nampa,Gun Show,2025-09-20,2025-09-21,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2025-09-21,2025-09-21,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Idaho Enhanced Concealed Carry Class,Training,2025-09-27,2025-09-27,Black's Creek Range,"2420 E Kuna Mora Rd, Kuna, ID 83634",Legal Heat,$125-150,8-hour enhanced concealed carry permit class with live fire qualification,legalheat.com,208-938-6090,Training,Monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2025-10-04,2025-10-04,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Great Idaho Gun Show - Post,Gun Show,2025-10-04,2025-10-05,Greyhound Park & Event Center,"5100 Riverbend Ave, Post Falls, ID 83854",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
Idaho Hunter Education Course,Training,2025-10-11,2025-10-11,Magic Valley Regional Office,"Jerome, ID 83338",Idaho Fish & Game,$9.75,Instructor-led hunter safety education course with hands-on firearm training,idfg.idaho.gov,208-334-3700,Training,Quarterly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2025-10-19,2025-10-19,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Idaho Enhanced Concealed Carry Class,Training,2025-10-25,2025-10-25,Boise Training Center,"Boise, ID",Idaho Firearms Classes,$125-150,8-hour enhanced concealed carry permit class with live fire qualification,legalheat.com,208-938-6090,Training,Monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2025-11-01,2025-11-01,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Great Idaho Gun Show - Nampa,Gun Show,2025-11-15,2025-11-16,Ford Idaho Center,"16200 N Idaho Ctr Blvd, Nampa, ID 83687",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2025-11-16,2025-11-16,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Idaho Enhanced Concealed Carry Class,Training,2025-11-22,2025-11-22,Nampa Training Center,"Nampa, ID",Idaho Gun School,$125-150,8-hour enhanced concealed carry permit class with live fire qualification,legalheat.com,208-938-6090,Training,Monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2025-12-07,2025-12-07,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
Great Idaho Gun Show - Post,Gun Show,2025-12-13,2025-12-14,Greyhound Park & Event Center,"5100 Riverbend Ave, Post Falls, ID 83854",Lewis Clark Trader LLC,"$10 daily, $15 weekend pass","Idaho's premier firearms trade show featuring dealers, collectors, ammunition, accessories, and outdoor gear",gunshowtrader.com,208-746-5555,Trade Show,Bi-monthly,ID,USA,2025-08-19,True
Idaho Enhanced Concealed Carry Class,Training,2025-12-20,2025-12-20,Hailey Training Center,"Hailey, ID",Hughston Shooting School,$125-150,8-hour enhanced concealed carry permit class with live fire qualification,legalheat.com,208-938-6090,Training,Monthly,ID,USA,2025-08-19,True
USPSA Practical Pistol Match,Competition,2025-12-21,2025-12-21,Nampa Rod & Gun Club,"15053 Bennett Rd, Nampa, ID 83687",Idaho Society of Practical Shooters,"$15 adults, $5 juniors",Monthly USPSA sanctioned practical pistol competition. All skill levels welcome.,nragc.com/uspsa,208-465-2661,Competition,Monthly,ID,USA,2025-08-19,True
