name,type,category,phone,address,city,county,source,priority
FIREFLY SHOOTING ACADEMY,"Gun Store, Indoor Range, FFL Dealer",ranges,2089540368,"516 W HIGHLAND ST, BOISE, ID 83706",BOISE,Ada,FFL_Boise,high
INDEPENDENCE INDOOR SHOOTING,"Gun Store, Indoor Range, FFL Dealer",ranges,2085764867,"2749 E GALA CT, MERIDIAN, ID 83642",MERIDIAN,Ada,FFL_Boise,high
MCGRATH GUNSMITH SERVICES,"Gunsmith, FFL Dealer",services,2087612335,"2736 MCKINNEY ST, BOISE, ID 837040000",BOISE,Ada,FFL_Boise,high
NELSON GUNSMITHING,"Gunsmith, FFL Dealer",services,9864004867,"1830 AIRPORT WAY, BOISE, ID 83705",BOISE,Ada,FFL_Boise,high
SIERRA TACTICAL & GUNSMITHING,"Gunsmith, FFL Dealer",services,2086974454,"2624 E LAWTON DRIVE, MERIDIAN, ID 83642",MERIDIAN,Ada,FFL_Boise,high
FREE STATE GUNSMITHING LLC,"Gunsmith, FFL Dealer",services,2089076461,"16089 N FRANKLIN STE 4, NAMPA, ID 83687",NAMPA,Canyon,FFL_Boise,high
LONG RANGE OUTFITTERS,"Gun Store, Indoor Range, FFL Dealer",ranges,2533631987,"17443 N FLAGSTAFF WAY, NAMPA, ID 83687",NAMPA,Canyon,FFL_Boise,high
QPR PRECISION GUNSMITHING LLC,"Gunsmith, FFL Dealer",services,2084650071,"311 2ND ST S STE B, NAMPA, ID 83651",NAMPA,Canyon,FFL_Boise,high
CLIFFS GUNSMITHING,"Gunsmith, FFL Dealer",services,5095957468,"1128 CRUMARINE LOOP RD, MOSCOW, ID 838430000",MOSCOW,Unknown,FFL_Candidates,high
DEREKS GUNSMITHING,"Gunsmith, FFL Dealer",services,2086527221,"4052 E 1400 N, ASHTON, ID 83420",ASHTON,Unknown,FFL_Candidates,high
DIAMONDBACK SHOOTING RANGE,"Gun Store, Indoor Range, FFL Dealer",ranges,2087987468,"1447 MAIN STREET, LEWISTON, ID 83501",LEWISTON,Unknown,FFL_Candidates,high
JUSTIN ANDERSON GUNSMITHING,"Gunsmith, FFL Dealer",services,2089468340,"470 RUSHO LN, BLANCHARD, ID 83804",BLANCHARD,Unknown,FFL_Candidates,high
PREMIER GUNSMITHING & COATINGS,"Gunsmith, FFL Dealer",services,2085217068,"1852 N 3750 E, IDAHO FALLS, ID 83401",IDAHO FALLS,Unknown,FFL_Candidates,high
SHOOTING SPORTS SPECIALTIES,"Gun Store, Indoor Range, FFL Dealer",ranges,2083018677,"3873 HAGEN CT, NEW MEADOWS, ID 83654",NEW MEADOWS,Unknown,FFL_Candidates,high
UPPER LEVEL GUNSMITHING,"Gunsmith, FFL Dealer",services,2088218483,"3814 CLEARFIELD LN, AMMON, ID 83406",AMMON,Unknown,FFL_Candidates,high
1199 TACTICAL LLC,"Gun Store, Tactical, FFL Dealer",retail,2088061478,"2825 S FOX TROOP PLACE, EAGLE, ID 83616",EAGLE,Ada,FFL_Boise,medium
208 PRECISION,"Gun Store, FFL Dealer",services,2085712243,"9019 N BROADWOOD LANE, EAGLE, ID 83616",EAGLE,Ada,FFL_Candidates,medium
ALLTERRA ARMS / ALLTERRA,"Gun Store, FFL Dealer",retail,2086085179,"6898 SUPPLY WAY STE 100, BOISE, ID 83716",BOISE,Ada,FFL_Candidates,medium
AMERICAN UPLAND/AUI,"Gun Store, FFL Dealer",retail,6052164880,"2837 NW 11TH AVE, MERIDIAN, ID 83646",MERIDIAN,Ada,FFL_Candidates,medium
"AMMOSMITH, LLC","Gun Store, FFL Dealer",retail,2083196598,"3515 E CONGRESSIONAL DR, MERIDIAN, ID 83642",MERIDIAN,Ada,FFL_Boise,medium
