Name,Type,Phone,Address,City,County,Website,Verified
Eubanks Gunsmithing,"Gun Store, Gunsmith, FFL Dealer",208-337-4212,"3686 River Rd, Homedale, ID 83628",Homedale,Owyhee,eubanksgunsmithing.com,Yes
Big Valley Gun and Pawn LLC,"Gun Store, Pawn Shop, FFL Dealer",N/A,"7 W Colorado Ave, Homedale, ID 83628",Homedale,Owyhee,N/A,Yes
CLC Custom Guns & Gunsmithing,"Gun Store, Gunsmith, FFL Dealer",N/A,"5040 Sage Rd, Homedale, ID 83628",Homedale,Owyhee,N/A,Yes
Rod Fivecoat Auctions,"Gun Store, FFL Dealer, Auction House",N/A,"3523 US-95, Homedale, ID 83628",Homedale,Owyhee,N/A,Yes
"McCray, John Calvin","Gun Store, FFL Dealer",N/A,"124 West Idaho Ave, Homedale, ID 83628",Homedale,Owyhee,N/A,Yes
Schaffers Corner,"Gun Store, FFL Dealer",N/A,"16900 Roping Horse Lane, Murphy, ID 83650",Murphy,Owyhee,N/A,Yes
Wilkinson Arms LLC,"Gun Store, FFL Dealer",N/A,"14754 Murphy Flat Road, Murphy, ID 83650",Murphy,Owyhee,N/A,Yes
Murphys Law Guns & Ammo LLC,"Gun Store, FFL Dealer",208-901-4169,"16950 Rimrock Ln, Murphy, ID 83650",Murphy,Owyhee,N/A,Yes
Charters Mtn Gun Shop,"Gun Store, FFL Dealer",208-901-4972,"19300 Marsing Rd, Caldwell, ID 83607",Near Marsing,Owyhee,N/A,Yes
Desert West Arms,"Gun Store, FFL Dealer",N/A,Owyhee County Area,Rural Owyhee,Owyhee,N/A,Yes
Idaho Sporting Clays & Hunting Club,"Sporting Goods, Clay Shooting",N/A,Near Homedale,Homedale,Owyhee,N/A,Yes
