Name,Type,Phone,Address,City,County,Website,Events
Parma Rod and Gun Club,"Shooting Club, Private Range",208-850-7097,"1420 Boehm Ln, Parma, ID 83660",Parma,Payette,parmarng.org,"Steel Challenge, 3 Gun, PRS Precision Rifle, Action Steel Match, IAWCA Matches"
Horseshoe Bend Gun Club Inc,ISRPA Affiliated Shooting Club,208-793-2271,"Near Horseshoe Bend, ID",Horseshoe Bend,Payette,N/A,ISRPA Events
"Weiser Trap Club, Inc.",ISRPA Affiliated Shooting Club,541-881-5080,"Weiser, ID",Weiser,Payette,N/A,Trap Shooting Championships
Payette County 4-H Shooting Sports,Youth Shooting Club,208-642-6036,Various locations in Payette County,Payette,Payette,uidaho.edu/extension/county/payette/4-h,"4-H Fair, Youth Shooting Sports Competitions"
Prism Ranch,"Private Range, Training Facility",208-514-9503,"5150 SE 2nd Avenue, New Plymouth, ID 83655",New Plymouth,Payette,prismprotectionservices.com,"Concealed Carry Classes, Basic Firearms Training"
Rock Creek Ranch,"Private Range, Training Facility",208-996-3555,"11300 Pearl Road, Emmett, ID 83617",Emmett,Gem,littletrapper.com/rock-creek-ranch,Private Training Events
Clay Peak BLM Shooting Area,Public Shooting Area,N/A,Managed by Payette County under BLM lease,Payette County,Payette,blm.gov/visit/clay-peak,Competitive Clay Events
Payette River Ranch,Private Event Venue,N/A,"3700 Highway 52, Payette, ID 83661",Payette,Payette,N/A,"Clay Shoot Competitions, Safari Club Events"
Prism Protection Services,Firearms Training School,208-514-9503,"5150 SE 2nd Avenue, New Plymouth, ID 83655",New Plymouth,Payette,prismprotectionservices.com,"Regular Concealed Carry Classes, Enhanced Permit Training, Basic Firearms Training"
American Pride Firearms Training,Firearms Training School,N/A,"5820 SE 9th Ave, Caldwell, ID 83607",Near Payette County,Canyon,N/A,Firearms Safety Training
Idaho Enhanced Academy,Firearms Training School,N/A,Serves Payette County,Payette County,Payette,N/A,Enhanced Concealed Carry Training
Safari Club International Treasure Valley Chapter,Hunting/Conservation Organization,N/A,Payette River Ranch Events,Payette,Payette,N/A,Annual Clay Shoot Competition
Payette County Fair Shooting Sports,Annual Event,208-642-6036,Payette County Fairgrounds,Payette,Payette,payettecountyfair.com,"4-H Shooting Sports Competitions, Youth Events"
IAWCA Payette Area Events,Shooting Competition Organization,N/A,Various Locations,Payette County,Payette,iawca.org,"CMP Matches, Service Rifle Competitions"
Payette County Sheriff's Office CCW Program,Government Training Program,208-642-6003,"205 N 12th St, Payette, ID",Payette,Payette,payettecounty.org,"Enhanced CCW Testing, Firearms Qualification"
Little Trapper Inc Training Programs,Training Facility,208-996-3555,"11300 Pearl Road, Emmett, ID 83617",Emmett,Gem,littletrapper.com,"Advanced Shooting Courses, Tactical Training"
Payette County Hunter Education,Government Education Program,208-465-8465,Various Locations,Payette County,Payette,idfg.idaho.gov,"Hunter Safety Classes, Youth Hunter Education"
Payette County 4-H Archery,Youth Archery Program,208-642-6036,Various 4-H Club Locations,Payette County,Payette,uidaho.edu/extension/county/payette/4-h,"County Fair Archery Competition, State 4-H Championships"
