Name,Type,Phone,Address,City,County,Website
Semper Firearms,"FFL Dealer, Gun Shop",208-891-9489,"1005 Center Ave, Payette, ID 83661",Payette,Payette,veriforcetactical.com/ffl-store-locator/semper-firearms-payette/
The Outdoorsman,"FFL Dealer, Gun Shop",541-889-3135,"739 S 12th St, Payette, ID 83661",Payette,Payette,N/A
Crossfire Metal Works / Crossfire,"FFL, Manufacturer",N/A,"303 2nd Ave N, Payette, ID 83661",Payette,Payette,N/A
"Watchdog Armory, LLC","FFL, Manufacturer",208-741-4040,"10201 Payette Heights Rd, Payette, ID 83661",Payette,Payette,N/A
Idaho Custom Arms,"FFL Dealer, Gunsmith",208-861-5425,"300 N 16th St Unit C, Payette, ID 83661",Payette,Payette,N/A
Q's Combat & Tactical LLC,"FFL Dealer, Gun Shop",702-332-7261,"14 S Main St #102, Payette, ID 83661",Payette,Payette,N/A
Bear Mountain Gun & Tool,"Gunsmith, Shop",N/A,"120 S Plymouth Ave, New Plymouth, ID 83655",New Plymouth,Payette,N/A
Prism Protection Services / Prism Ranch,"Range, Training, Club",208-514-9503,"New Plymouth, ID 83655",New Plymouth,Payette,nextdoor.com/pages/prism-protection-services-new-plymouth-id/
Snake River Sportsman Shotgun,"Shooting Range, Club",N/A,"Fruitland, ID 83619",Fruitland,Payette,N/A
Neil Goodfellow Firearms Training,"Trainer, Instructor",541-212-2882,"Fruitland, ID",Fruitland,Payette,N/A
Prism Ranch (Mark Clark),"Trainer, Instructor",208-514-9503,"New Plymouth, ID 83655",New Plymouth,Payette,N/A
Payette County Archers,Archery Club/Range,N/A,"Payette, ID 83661",Payette,Payette,N/A
Softball Complex - Fruitland,Softball Sports Facility,N/A,"Fruitland, ID 83619",Fruitland,Payette,N/A
