Name,Type,Phone,Address,City,County,Website,Verified
Semper Firearms,"Gun Store, FFL Dealer",208-891-9489,"1005 Center Ave, Payette, ID 83661",Payette,Payette,veriforcetactical.com/ffl-store-locator/semper-firearms-payette/,Yes
The Outdoorsman,"Gun Store, FFL Dealer",541-889-3135,"739 S 12th St, Payette, ID 83661",Payette,Payette,N/A,Yes
"Watchdog Armory, LLC","Gun Store, Gunsmith, Manufacturer",208-741-4040,"10201 Payette Heights Rd, Payette, ID 83661",Payette,Payette,watchdogarmory.net,Yes
Idaho Custom Arms,"Gun Store, Gunsmith, FFL Dealer",208-861-5425,"300 N 16th St Unit C, Payette, ID 83661",Payette,Payette,N/A,Yes
Crossfire Metal Works / Crossfire,"Gun Manufacturer, FFL",N/A,"303 2nd Ave N, Payette, ID 83661",Payette,Payette,N/A,Yes
Q's Combat & Tactical LLC,"Gun Store, FFL Dealer",702-332-7261,"14 S Main St #102, Payette, ID 83661",Payette,Payette,N/A,Yes
"Bighorn Gunsmithing, LLC","Gun Store, Gunsmith, FFL Dealer",N/A,"4110 Hwy 30 W, New Plymouth, ID 83655",New Plymouth,Payette,N/A,Yes
SRG Armament,"Gun Manufacturer, FFL",N/A,"106 Hawthorne Ave, New Plymouth, ID 83655",New Plymouth,Payette,N/A,Yes
Bear Mountain Gun & Tool,"Gun Store, Gunsmith",N/A,"120 S Plymouth Ave, New Plymouth, ID 83655",New Plymouth,Payette,N/A,Yes
Gunrunner,"Gun Store, FFL Dealer",N/A,"841 Howard Ln, Fruitland, ID 83619",Fruitland,Payette,veriforcetactical.com/ffl-store-locator/gunrunner-fruitland/,Yes
Evans Gun Repair,"Gun Store, Gunsmith, FFL Dealer",208-452-5958,"5200 Hwy 95, Fruitland, ID 83619",Fruitland,Payette,N/A,Yes
Cambridge Distributing LLC,"Gun Store, FFL Dealer",N/A,"8156 N Pennsylvania Avenue, Fruitland, ID 83619",Fruitland,Payette,N/A,Yes
Gem State Pawn,"Pawn Shop, Firearms",N/A,"1205 N Whitley Drive #4, Fruitland, ID 83619",Fruitland,Payette,N/A,Yes
Highlight Technologies,"Gun Store, FFL Dealer",N/A,"2650 NW 3rd Ave, Fruitland, ID 83619",Fruitland,Payette,N/A,Yes
Ponderosa Sports & Mercantile,"Gun Store, Sporting Goods",208-793-3121,"6854 Highway 55, Horseshoe Bend, ID 83629",Horseshoe Bend,Payette,ponderosasports.com,Yes
