id,name,type,category,phone,address,city,county,website,verified,events,tier,refresh_frequency,source_file,last_updated
26490010,"Buckhorn Gun & Pawn","Gun Store, Gunsmith, Pawn, FFL Dealer",retail,208-377-2535,"6601 W Ustick Rd, Boise, ID 83704",Boise,Ada,buckhornguns.com,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.152Z
070d9776,"Cliff's Guns Safes & Reloading","Gun Store, Gunsmith, FFL Dealer",retail,208-375-8694,"11505 W Fairview Ave #101, Boise, ID 83713",Boise,Ada,gunsamerica.com/Search/Lister/193/Cliffs_Guns_Safes_Reloading,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.153Z
9a5b8f7e,"Impact Guns","Gun Store, Indoor Range, FFL Dealer",ranges,208-321-1288,"11655 W Executive Dr, Boise, ID 83713",Boise,Ada,impactguns.com,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.153Z
1857dd5b,"Al's Sporting Goods","Gun Store, FFL Dealer",retail,208-801-7494,"1301 N Milwaukee St, Boise, ID 83704",Boise,Ada,,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.153Z
2d3e421d,"20/20 Sporting Services","Gun Store, FFL Dealer",retail,208-866-4870,"1175 W Boise Ave Suite A, Boise, ID 83706",Boise,Ada,,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.153Z
fe60c638,"Rifle Guru","Gun Store, Gunsmith, FFL Dealer",retail,N/A,"5282 W White Hills Dr, Boise, ID 83714",Boise,Ada,,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.153Z
30bd9d70,"Ada Armaments","Gun Manufacturer",retail,N/A,"7305 S Glenridge View Dr, Boise, ID 83709",Boise,Ada,,true,,2,weekly,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.153Z
4824a48d,"American Reserve Munitions LLC","Gun Manufacturer",retail,N/A,"3601 W Chinden Blvd, Boise, ID 83714",Boise,Ada,,true,,2,weekly,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.153Z
0d2d3469,"High Born Tactical","Gun Manufacturer",retail,N/A,"400 N Five Mile Rd, Boise, ID 83713",Boise,Ada,,true,,2,weekly,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.154Z
c53a7e9b,"Automatic Weapons Company","Gun Manufacturer",retail,208-938-2173,"15005 N McFarland Creek Rd #B, Boise, ID 83714",Boise,Ada,,true,,2,weekly,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.154Z
282f30f7,"I2AT","Gun Manufacturer",retail,N/A,"5202 N Morninggale Way, Boise, ID 83713",Boise,Ada,,true,,2,weekly,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.155Z
b5a0bca1,"Aviation Specialties Unlimited Inc","Gun Store, FFL Dealer",retail,208-426-8117,"4632 West Aeronca St, Boise, ID 83705",Boise,Ada,,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.155Z
34f3440e,"Allterra Arms","Gun Store, Gunsmith, FFL Dealer",retail,208-608-5179,"6898 Supply Way Ste 100, Boise, ID 83716",Boise,Ada,,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.155Z
c5967519,"Axial Precision LLC","Gun Store, Gunsmith",retail,208-608-5179,"Boise, ID",Boise,Ada,,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.155Z
7547ba02,"Blue Line Guns","Gun Store, FFL Dealer",retail,208-639-1653,"Boise, ID",Boise,Ada,,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.155Z
02ee946f,"Caracal USA","Gun Manufacturer",retail,208-323-8727,"Boise, ID",Boise,Ada,,true,,2,weekly,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.155Z
e95edf88,"Fall River Arms","Gun Store, FFL Dealer",retail,208-629-3910,"Boise, ID",Boise,Ada,,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.155Z
d51d261c,"Idaho Guns","Gun Store, FFL Dealer",retail,208-378-1600,"8600 W Franklin Rd, Boise, ID 83709",Boise,Ada,,true,,1,daily,docs/ada_county_gun_stores_comprehensive.csv,2025-08-18T23:40:42.155Z
